id,Sentence,Sentiment
1,sony ericsson and nokia dominated the list of bestselling handsets with five models each,positive
2,exel is headquartered in mantyharju in finland,neutral
3,we are very pleased to be working with fujitsu and ntt docomo to advance the progress of lte said juergen walter head of converged core nokia siemens networks,positive
4,tsla bad day to short,positive
5,sbux down pm from db downgrade pt cut from 70 to 64,negative
6,marimekko is considering further measures in the matter,neutral
7,the device can also be used for theft protection and positioning of vehicles boats and other assets,neutral
8,temporary layoffs affecting the entire workforce will also be implemented,negative
9,ramirent made 18 million kroons eur 115 mln loss last year the year before the company was 73 million kroons in the black,negative
10,she will succeed krister kylas who has decided to leave teliasonera,neutral
11,the airline s share price closed down slightly at x20ac 1251 15us 74 in helsinki,neutral
12,pretax loss totaled eur 117mn compared to a loss of eur 65mn in the corresponding period,negative
13,the company had earlier said that it was considering different strategic options for the struggling lowcost mobile operator including a divestment of its holding,neutral
14,in the baltic countries sales fell by 402 and in russia by 232 in terms of euros and by 107 in terms of local currency,negative
15,asian traffic declined by 34 per cent,negative
16,long tsla short mbly httpstcojspuszo6na,positive
17,bilfinger industrial services win 100m bp contract extension,positive
18,they can be used to control the speed of electric motors used by industry and municipal engineering and in power generation using renewable energy,neutral
19,a 2001 agreement expired earlier this month,neutral
20,arcelormittal chief executive officer lakshmi mittal has already cut output at some furnaces,negative
21,pretty steady accumulation off support today purdy agu,positive
22,loss after financial items totalled eur 97 mn compared to a profit of eur 13 mn in the corresponding period in 2008,negative
23,the ship unloader is totally enclosed along the entire conveying line to the storage facilities,neutral
24,london afx shares in rautaruukki corp have been upgraded to hold from sell by abn amro with the price target raised to 2575 eur from 145 said dealers,positive
25,ab inbev attacks sabmiller bid rebuffal,negative
26,neste shipping is the most likely to remain finnish as the oil sector and its transports are significant for emergency supply,neutral
27,last year the company raised its turnover to approximately 7 million litas eur 2 mln from 61 million litas in 2004,positive
28,south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish mreal corporation s graphic papers business unit,positive
29,sales in finland decreased by 20 and international sales decreased by 93 in terms of euros and by 151 in terms of local currencies,negative
30,spy mitk fast 56pc dive httpstksco3ffn,negative
31,the original name componenta ml as a subsidiary of the finnish componenta group has been changed to ml components and the company has seen a 63 growth in q1 2010 in comparison to q1 2009,positive
32,gs is looking weak while this market is moving higher not a good sign unless gs can get above 157 early short below 15400 today,negative
33,lt s net profit for the whole 2010 dropped to eur 36 million from eur 45 million for 2009,neutral
34,the finnish daily kauppalehti surmises that finnish supplier rautaruukki has raised its prices above aker s comfort zone,negative
35,adp news feb 12 2009 finnish it solutions provider affecto oyj hel afe1v said today its net profit rose to eur 85 million usd 11m in 2008 from eur 7 million in 2007,positive
36,relief for lewis as tesco sees sales grow for first time in a year,positive
37,horizonte acquires neighbouring glencore nickel property in brazil,positive
38,g4s slides on balance sheet worries,negative
39,companiescar insurer hastings group driving 180m ipo,positive
40,spy extreme win today 2 cents above 2009 low on 10year and spy up 2 percent life is a bowl of cherries great short setting up,negative
41,wfm bought a little yesterday hoping for an earnings pop,positive
42,ruukki signed the contract with norwegian company veidekke entreprenor as,positive
43,ftse rallies off threemonth low boosted by stanchart sainsbury,positive
44,british american tobacco firsthalf sales hurt by currency moves,negative
45,frost sold shares for 19 million at 6067 12 per share compared with friday s high of 1133 and low of 1014,neutral
46,sina even though the report is untrue and has been proven unture the damage is done no one wants to touch it now,negative
47,operating profit fell from eur 79 mn in the second quarter of 2005 to eur 51 mn in the second quarter of 2006,neutral
48,fastenal misses by 001 misses on revenue fast nyse httpstco63jhq7pwmn,negative
49,following the acquisition relacom will strengthen its presence in finland serving operators and office market with mobile and fixed networks construction installation and maintenance services,positive
50,each share is entitled to one vote,neutral
51,operating profit totaled eur 825mn up from eur 763mn in 2004,positive
52,vanhanen said the strike would be extremely damaging as some 1300 participants and reporters begin to arrive in finland for the oneday eu summit with russian president vladimir putin in lahti about 100 kilometers 60 miles north of helsinki,negative
53,capman plc press release 31 march 2008 jukka ruuska president of the omx nordic exchanges and the stockholm stock exchange will transfer to capman effective no later than september 2008,neutral
54,the transaction was announced on september 29 when pohjola insurance agreed to pay eur 80 million usd 1063 m in cash for pohjantahti,neutral
55,in addition a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed,negative
56,major order in india comptel corporation has received a significant longterm order for mediation and provisioning solutions being used by a leading operator in india,positive
57,stora chief executive jouko karvinen has described the russian tariff hikes as a threat to the future of the forest products industry in finland,negative
58,the company said that its comparable operating profit for the januaryjune period fell short of last year s corresponding performance,neutral
59,slv 444 at 18 now awful down from 4250,negative
60,while i cant understand what theyre saying its impressive to watch him hit that ball at those speeds,neutral
61,why not give your bedroom a cool makeover for summer,neutral
62,upon completion of the sale proha would get some usd12 7 m for its stake in artemis,neutral
63,ruukki announced that it has signed an agreement with aker solutions of norway to supply 24 suction anchors in september 2010 from its kalajoki unit in finland,positive
64,trx httpstksco1kkk long setup macd cross,positive
65,my dwa play up 6 today im still skeptical will take profits not a time cheer,neutral
66,less than ten people will face pension agreements,neutral
67,following the registration the number of issued and outstanding shares of basware is 12890829,neutral
68,in the first nine months of 2010 the company s net loss narrowed to eur 415000 from eur 74 million for the corresponding period of 2009,positive
69,financial statements include the consolidated financial statements of the group the board of directors report the auditors report and the corporate governance statement,neutral
70,operating profit fell to eur 203 mn from eur 742 mn in the second quarter of 2008,negative
71,easyjet leads britains ftse lower as global bond rout resumes,negative
72,the omx helsinki index was 033 pct lower at 936480 while the omx helsinki cap portfolio index was down 034 pct at 502925,negative
73,nasdboy i think the dnf crew can get this nflx short into the next 30 days heading into earnings,negative
74,operating profit in the fourth quarter fell to eur33m from eur39m a year earlier,negative
75,nyrstar has also agreed to supply to talvivaara up to 150000 tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate,positive
76,finnish airline finnair is starting the temporary layoffs of cabin crews in february 2010,negative
77,the deal was worth about eur 12 mn,neutral
78,legal general arm buys 50 pct stake in mediacityuk in manchester,positive
79,fb i guess they want it down look at the those sell orders,negative
80,protalix closed at 1071 on friday on the american stock exchange giving a market cap of 827 million,neutral
81,terms of the acquisition were not disclosed,neutral
82,the steelmaker said that the drop in profit was explained by the continuing economic uncertainty mixed with the current drought in bank lending resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations,negative
83,nokia s us shares were 33 percent lower at 1273 by 1750 gmt,negative
84,as a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds,negative
85,the firm is headquartered in vantaa southern finland and has 16 employees,neutral
86,price talk is in the midmarket swaps plus 105 bps area and the leads are barclays bnpp ubs and cba,neutral
87,the company serves customers in various industries including process and resources industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy and information technology as well as catering and households,neutral
88,imperial tobacco adds quarterly dividends after profit rose,positive
89,3 january 2011 finnish flag carrier finnair oyj hel fia1s said today it sealed a nineyear sale and leaseback agreement for its newest airbus a330 aircraft for syndication into the japanese operating lease market,positive
90,spy vxx aapl the parties over loaded on uvxy volatility is back,negative
91,based on strong customer interest and feedback using rpm mobile phone manufacturers operators enterprises and developer forums can significantly increase their product and service quality userexperience and costefficiency tulonen continues,positive
